Category,Description,IsEssential,Price,Account_ID,Date
Accounting,commodo,0,41337.5,2,2016-01-05
Quality Assurance,nulla. In tincidunt congue turpis.,0,92326.87,2,2016-01-19
Media Relations,viverra.,0,62477.8,1,2016-02-10
Public Relations,"ac, feugiat non, lobortis",0,11218.82,1,2016-02-22
Accounting,vel lectus.,0,64308.27,2,2016-03-30
Advertising,non,0,3488.38,2,2016-07-19
Advertising,"nulla. Integer vulputate,",0,14108.9,2,2017-03-22
Finances,arcu. Curabitur ut odio,1,48360.61,1,2017-04-15
Customer Service,molestie,1,20318.19,2,2017-05-02
Advertising,ornare,0,81569.95,1,2017-10-01
Public Relations,sed orci lobortis augue,0,34372.92,1,2017-11-06
Public Relations,Lorem ipsum dolor sit,1,70105,1,2018-09-08
Tech Support,pede. Cum sociis natoque penatibus,0,15108.42,1,2018-10-01
Asset Management,"auctor, nunc nulla vulputate dui,",1,29912.26,2,2018-11-10
Finances,Phasellus ornare. Fusce mollis. Duis,0,54072.69,2,2018-11-17
Customer Relations,"lorem, luctus ut,",1,38461.16,2,2018-12-26
Public Relations,"hendrerit id,",0,97201.29,1,2019-01-15
Payroll,"feugiat non, lobortis quis,",0,7907.5,2,2019-02-05
Quality Assurance,"vestibulum, neque",0,1660.98,1,2019-04-28
Quality Assurance,sollicitudin commodo ipsum. Suspendisse,1,59529.37,2,2019-05-12
Customer Service,"varius ultrices, mauris ipsum",1,99278.6,2,2019-05-21
Research and Development,lorem ac risus. Morbi metus.,0,35344.34,2,2019-05-30
Quality Assurance,pede blandit,0,11473.1,1,2019-07-06
Customer Relations,diam. Pellentesque,1,62198.1,1,2019-08-14
Finances,ornare. In faucibus. Morbi,1,42888.34,2,2019-12-13
Public Relations,velit. Quisque varius. Nam,0,76876.99,2,2015-11-13
Advertising,ultrices posuere cubilia,0,45967.6,1,2015-12-04
Accounting,ornare tortor at risus. Nunc,1,45249.64,2,2016-03-11
Payroll,nec tempus,0,60651.45,1,2016-03-17
Tech Support,"accumsan convallis, ante lectus",0,61680.8,2,2016-03-22
Legal Department,Phasellus at,0,77532.23,1,2016-09-17
Payroll,Donec,0,83303.63,1,2017-01-21
Customer Service,"dolor, nonummy ac,",0,55153.84,2,2017-12-27
Research and Development,turpis. Nulla aliquet.,1,40331.37,2,2018-03-01
Public Relations,Mauris magna. Duis,0,44679.89,1,2018-06-01
Legal Department,risus. Morbi metus. Vivamus,0,70658.32,2,2018-06-02
Public Relations,eget,0,28379.57,1,2018-06-06
Sales and Marketing,"quam, elementum at,",0,9413.68,2,2018-06-26
Asset Management,"urna convallis erat,",1,28904.44,2,2018-09-17
Media Relations,erat vel,1,19058.31,2,2018-11-15
Legal Department,Integer in magna.,0,93317.52,1,2018-11-25
Legal Department,neque pellentesque massa lobortis,1,96575.72,1,2019-02-08
Legal Department,semper.,0,3040.35,1,2019-02-16
Legal Department,consectetuer euismod est arcu ac,1,14182.82,2,2019-03-19
Customer Service,"lobortis quis,",1,88671.86,1,2019-08-24
Finances,lorem.,1,54742.67,1,2019-08-30
Media Relations,sociosqu ad litora torquent,0,72330.67,2,2019-09-03
Advertising,"ante blandit viverra. Donec tempus,",1,682.97,2,2019-09-05
Quality Assurance,libero,1,48192.99,2,2019-11-15
Public Relations,Vivamus,1,90430.92,1,2019-12-12
Sales and Marketing,sed pede. Cum sociis natoque,0,25769.11,1,2015-12-17
Tech Support,turpis. In condimentum. Donec at,1,46095.31,2,2016-02-24
Quality Assurance,sed consequat,1,69795.04,2,2016-04-18
Customer Service,ligula consectetuer rhoncus. Nullam velit,0,6053.04,2,2016-08-26
Sales and Marketing,vel turpis.,1,84532.57,1,2016-10-20
Human Resources,"enim, condimentum eget, volutpat",1,13067.28,2,2017-01-29
Payroll,turpis non,0,13095.83,2,2017-03-13
Legal Department,torquent per,0,20771.2,1,2017-03-28
Media Relations,Morbi sit amet massa.,1,35007.35,1,2017-04-23
Customer Service,"pretium et, rutrum non, hendrerit",1,29591.97,2,2017-05-05
Payroll,Vestibulum ante ipsum primis in,0,38351.66,1,2017-07-04
Asset Management,"dapibus id,",0,64443.73,2,2017-07-21
Finances,imperdiet ornare. In faucibus. Morbi,0,73711.96,2,2017-11-16
Media Relations,Duis sit amet diam eu,0,45210.87,2,2017-11-18
Asset Management,imperdiet,1,98903.31,1,2018-04-26
Customer Service,non ante bibendum ullamcorper. Duis,0,10466.84,1,2018-05-18
Tech Support,nec mauris blandit,0,14597.1,2,2018-07-29
Legal Department,metus eu erat semper,0,63927.52,1,2018-10-13
Human Resources,Sed eget lacus.,0,4768.33,1,2018-10-15
Customer Service,metus vitae velit egestas lacinia.,0,5959.32,1,2018-11-17
Media Relations,"at, nisi. Cum sociis",1,87899.08,1,2019-02-13
Customer Service,magna. Cras convallis convallis,0,6080.65,2,2019-03-21
Accounting,sem,0,23213.7,2,2019-04-23
Sales and Marketing,"ante,",1,32133.29,1,2019-11-09
Advertising,dictum,0,21337.29,2,2019-12-26
Finances,Aenean eget,1,95728.13,1,2016-02-03
Media Relations,"adipiscing, enim mi tempor",0,48663.22,2,2016-02-16
Finances,Duis at lacus. Quisque purus,0,93835.25,2,2016-05-30
Quality Assurance,"nec,",0,51778.83,2,2016-08-06
Legal Department,nascetur,1,1850.24,1,2016-10-03
Asset Management,Sed neque. Sed,1,61002.43,2,2016-11-24
Accounting,"non, egestas",0,14742.75,1,2017-02-16
Finances,Suspendisse ac metus,1,39331.37,2,2017-03-07
Customer Service,pharetra. Quisque,1,74979.52,1,2017-05-28
Research and Development,ipsum.,0,38822.9,2,2017-06-18
Sales and Marketing,non lorem vitae,1,34711.29,2,2017-07-25
Advertising,lacus. Ut nec,0,14849.33,2,2017-09-01
Media Relations,Praesent eu dui. Cum sociis,1,97163.36,1,2017-09-30
Tech Support,adipiscing elit.,1,42470.04,1,2017-12-12
Legal Department,tincidunt,1,63529.57,1,2017-12-31
Tech Support,nec tellus. Nunc lectus,1,4126.72,2,2018-01-11
Quality Assurance,"dolor elit, pellentesque",0,9005.79,1,2018-01-15
Asset Management,mus. Donec,0,50192.72,1,2018-02-16
Customer Relations,magnis dis parturient,1,17232.53,2,2018-05-02
Tech Support,Suspendisse,1,35841.52,1,2019-02-23
Customer Relations,libero,0,90965.08,2,2019-06-02
Asset Management,magna,0,23410.34,2,2019-07-14
Quality Assurance,amet,1,16297.36,1,2019-11-25
Human Resources,Aenean massa. Integer vitae nibh.,0,35512.43,2,2019-12-16
Asset Management,fringilla.,1,13704.51,1,2019-12-31
